Date,CS_Ann,CD_Ann,Enrgy_Ann,Fncl_Ann,HlthC_Ann,Indstrl_Ann,Mtrls_Ann,Tech_Ann,Util_Ann,Unempl,Jobs_Non-Farm (000s),Hrly_Wages,CPI_urban,PPI_Commodity,Imp_Exp _Indx,haircut_price,cardboard_pice
1/1/08,0.0944,-0.1447,0.3711,-0.2132,0.0573,0.1116,0.1966,0.1408,0.1576,0.05,138403,21.19,212.174,,129.2,134.2,255.7
2/1/08,0.0176,-0.1746,0.2138,-0.22,-0.0369,0.0389,0.1127,-0.0076,0.0775,0.049,138324,21.26,212.687,,129.5,134.75,255.8
3/1/08,0.045,-0.1844,0.3512,-0.2769,-0.0233,0.0324,0.123,-0.0242,-0.0162,0.051,138275,21.36,213.448,,133.5,135.92,255.8
4/1/08,0.056,-0.1825,0.2247,-0.2764,-0.074,0.0572,0.066,-0.0201,-0.0392,0.05,138035,21.37,213.942,,137.3,135.94,255.8
5/1/08,0.0157,-0.171,0.2724,-0.2827,-0.1303,0.0222,0.0933,-0.0131,-0.037,0.054,137858,21.47,215.208,,141.2,136.46,254.8
6/1/08,0.0245,-0.1995,0.2468,-0.3493,-0.1279,-0.018,0.0812,-0.019,-0.0131,0.056,137687,21.52,217.463,,145.5,136.38,254.8
7/1/08,-0.0284,-0.2896,0.2758,-0.4568,-0.1477,-0.1426,0.0071,-0.1184,0.0108,0.058,137491,21.59,219.016,,147.5,136.51,254.8
8/1/08,0.0393,-0.227,0.0842,-0.346,-0.0447,-0.1173,0.0254,-0.1208,0.0119,0.061,137213,21.7,218.69,,143,136.77,263.7
9/1/08,0.0521,-0.1588,0.0359,-0.3511,-0.0467,-0.0915,-0.0013,-0.1077,-0.0049,0.061,136753,21.72,218.877,,137.8,137.05,275.6
10/1/08,-0.0133,-0.2171,-0.1612,-0.4181,-0.1521,-0.2618,-0.2228,-0.2757,-0.1686,0.065,136272,21.76,216.995,,129.6,137.63,277.4
